RespondentID,SatisfactionLevel
1,Satisfied
2,Very Satisfied
3,Satisfied
4,Very Satisfied
5,Very Satisfied
6,Very Dissatisfied
7,Satisfied
8,Dissatisfied
9,Satisfied
10,Neutral
11,Neutral
12,Satisfied
13,Satisfied
14,Satisfied
15,Satisfied
16,Dissatisfied
17,Dissatisfied
18,Very Dissatisfied
19,Very Satisfied
20,Neutral
21,Dissatisfied
22,Very Satisfied
23,Very Satisfied
24,Neutral
25,Satisfied
26,Dissatisfied
27,Very Satisfied
28,Neutral
29,Very Satisfied
30,Very Satisfied
31,Very Satisfied
32,Dissatisfied
33,Neutral
34,Satisfied
35,Satisfied
36,Dissatisfied
37,Satisfied
38,Dissatisfied
39,Satisfied
40,Satisfied
41,Satisfied
42,Satisfied
43,Neutral
44,Satisfied
45,Very Satisfied
46,Dissatisfied
47,Satisfied
48,Satisfied
49,Dissatisfied
50,Neutral
